year,state,clone,LxW
2013,OR,a03141-6,1.73
2013,OR,a03158-2te,1.63
2013,OR,a03921-2,1.58
2013,OR,a05052-3te,1.48
2013,OR,a05084-11,1.62
2013,OR,a06003-3te,1.72
2013,OR,a06021-1t,1.78
2013,OR,a06029-4t,1.36
2013,OR,a06084-1te,1.85
2013,OR,a07001-7te,1.84
2013,OR,ao01114-4,1.58
2013,OR,ao02060-3,1.57
2013,OR,ao03123-2,1.76
2013,OR,aor06070-1kf,1.54
2013,OR,or05039-4,1.89
2013,OR,por06v12-3,1.77
2013,OR,ranger russet,1.84
2013,OR,ranger russet,1.84
2013,OR,russet burbank,1.92
2013,OR,russet burbank,1.92
2014,OR,a0073-2,1.72
2014,OR,a02424-83lb,1.73
2014,OR,a02507-2lb,1.43
2014,OR,a03141-6,1.71
2014,OR,a03158-2te,1.88
2014,OR,a03921-2,1.83
2014,OR,a06014-14te,1.83
2014,OR,a06020-8,1.72
2014,OR,a06021-1t,1.69
2014,OR,a06084-1te,1.92
2014,OR,a06096-2,2.06
2014,OR,a06408-99lb,1.42
2014,OR,a06862-18vr,1.43
2014,OR,a06914-3cr,1.86
2014,OR,a07008-4t,2.08
2014,OR,a07103-1t,1.61
2014,OR,a08014-11te,1.61
2014,OR,a08014-9te,1.42
2014,OR,ao01114-4,1.75
2014,OR,ao02060-3,1.81
2014,OR,ao03123-2,1.94
2014,OR,ao06191-1,1.69
2014,OR,aor06070-1kf,1.58
2014,OR,co05068-1ru,1.43
2014,OR,co05175-1ru,2.06
2014,OR,coa05149-2,1.42
2014,OR,or05039-4,1.87
2014,OR,or08014-4,1.78
2014,OR,por06v12-3,1.73
2014,OR,ranger russet,2.03
2014,OR,ranger russet,2.03
2014,OR,russet burbank,2.03
2014,OR,russet burbank,2.03
2015,OR,a02449-100,1.68
2015,OR,a03141-6,2.34
2015,OR,a03921-2,1.85
2015,OR,a06021-1t,1.92
2015,OR,a06030-23,1.99
2015,OR,a06084-1te,2.1
2015,OR,a061070-3csr,1.81
2015,OR,a061071-3csr,1.61
2015,OR,a06862-14vr,1.9
2015,OR,a06862-18vr,1.77
2015,OR,a06914-3cr,2.2
2015,OR,a07008-4t,2.76
2015,OR,a08009-2te,2.22
2015,OR,a08433-4vr,1.77
2015,OR,a09001-12te,1.51
2015,OR,a09001-14te,1.34
2015,OR,ac05039-2ru,1.92
2015,OR,ao03123-2,2.14
2015,OR,ao06191-1,1.79
2015,OR,aor06070-1kf,2.08
2015,OR,co05068-1ru,1.6
2015,OR,co05175-1ru,2.39
2015,OR,cotx09022-3rure/y,1.44
2015,OR,cotx09052-2ru,1.99
2015,OR,or05039-4,2.36
2015,OR,por06v12-3,1.89
2015,OR,ranger russet,2.66
2015,OR,ranger russet,2.66
2015,OR,russet burbank,2.95
2015,OR,russet burbank,2.95
2015,OR,tx08352-5ru,1.69
2016,OR,a03141-6,1.6
2016,OR,a03921-2,1.58
2016,OR,a06021-1t,1.63
2016,OR,a06030-23,1.65
2016,OR,a061070-3csr,1.47
2016,OR,a06403-12,1.78
2016,OR,a07061-6,1.63
2016,OR,a07088-6,1.77
2016,OR,a071012-4bf,1.82
2016,OR,a08422-2vrsto,1.64
2016,OR,a10210-7te,1.92
2016,OR,a10214-2te,1.36
2016,OR,ao03123-2,1.75
2016,OR,ao06191-1,1.6
2016,OR,aor06070-1kf,1.9
2016,OR,aor06576-1,2.12
2016,OR,aor07781-5,1.83
2016,OR,aor07821-1,1.76
2016,OR,aor08032-1,1.65
2016,OR,co04220-7ru,2.18
2016,OR,co05068-1ru,1.55
2016,OR,ranger russet,2.08
2016,OR,ranger russet,2.08
2016,OR,russet burbank,2.11
2016,OR,russet burbank,2.11
2017,OR,a06030-23,1.78
2017,OR,a07061-6,1.57
2017,OR,a07098-4,1.78
2017,OR,a071012-4bf,1.77
2017,OR,a07769-4,1.85
2017,OR,a08422-2vrsto,1.96
2017,OR,a08433-4vr,1.71
