cutting,irrigation,plot,block,intercrop,yield,row,col
First,Deficit,3205,3,75A+25M,415.9074346,3,15
Second,Deficit,3205,3,75A+25M,312.0383079,3,15
Third,Deficit,3205,3,75A+25M,376.4885239,3,15
First,Deficit,3206,3,50A+50M_AR,422.4640529,4,11
Second,Deficit,3206,3,50A+50M_AR,192.2090872,4,11
Third,Deficit,3206,3,50A+50M_AR,218.5635403,4,11
First,Deficit,3207,3,50A+50M,493.0168886,4,12
Second,Deficit,3207,3,50A+50M,402.3646329,4,12
Third,Deficit,3207,3,50A+50M,605.4975153,4,12
First,Deficit,3208,3,50A+50O,433.1446847,4,13
Second,Deficit,3208,3,50A+50O,222.368381,4,13
Third,Deficit,3208,3,50A+50O,266.0840525,4,13
First,Deficit,3209,3,50A+50F_AR,460.3489544,4,14
Second,Deficit,3209,3,50A+50F_AR,355.7532067,4,14
Third,Deficit,3209,3,50A+50F_AR,338.8637894,4,14
First,Deficit,3210,3,75A+25O,408.130919,4,15
Second,Deficit,3210,3,75A+25O,252.4659145,4,15
Third,Deficit,3210,3,75A+25O,478.7158081,4,15
First,Deficit,4101,4,75A+25O,554.891125,1,16
Second,Deficit,4101,4,75A+25O,195.3490048,1,16
Third,Deficit,4101,4,75A+25O,383.4642219,1,16
First,Deficit,4102,4,75A+25M,514.0722838,1,17
Second,Deficit,4102,4,75A+25M,334.6521905,1,17
Third,Deficit,4102,4,75A+25M,331.5840746,1,17
First,Deficit,4103,4,50A+50F,369.8303531,1,18
Second,Deficit,4103,4,50A+50F,187.5092062,1,18
Third,Deficit,4103,4,50A+50F,530.3061599,1,18
First,Deficit,4104,4,50A+50M_AR,293.983865,1,19
Second,Deficit,4104,4,50A+50M_AR,267.5771737,1,19
Third,Deficit,4104,4,50A+50M_AR,250.8317342,1,19
First,Deficit,4105,4,50A+50O_AR,382.1696283,1,20
Second,Deficit,4105,4,50A+50O_AR,219.7846423,1,20
Third,Deficit,4105,4,50A+50O_AR,236.2309252,1,20
First,Deficit,4106,4,100A,541.7581608,2,16
Second,Deficit,4106,4,100A,527.7728763,2,16
Third,Deficit,4106,4,100A,229.8070244,2,16
First,Deficit,4107,4,75A+25F,546.3916945,2,17
Second,Deficit,4107,4,75A+25F,269.0096774,2,17
Third,Deficit,4107,4,75A+25F,436.8256056,2,17
First,Deficit,4108,4,50A+50M,464.4868907,2,18
Second,Deficit,4108,4,50A+50M,316.0033735,2,18
Third,Deficit,4108,4,50A+50M,351.1816054,2,18
First,Deficit,4109,4,50A+50F_AR,338.2357839,2,19
Second,Deficit,4109,4,50A+50F_AR,232.1490529,2,19
Third,Deficit,4109,4,50A+50F_AR,188.9391128,2,19
First,Deficit,4110,4,50A+50O,671.418328,2,20
Second,Deficit,4110,4,50A+50O,312.0232962,2,20
Third,Deficit,4110,4,50A+50O,396.1828272,2,20
First,Full,4201,4,75A+25O,356.7359386,3,16
Second,Full,4201,4,75A+25O,602.8760638,3,16
Third,Full,4201,4,75A+25O,451.3299653,3,16
First,Full,4202,4,50A+50M_AR,362.1140862,3,17
Second,Full,4202,4,50A+50M_AR,375.7271029,3,17
Third,Full,4202,4,50A+50M_AR,205.326417,3,17
First,Full,4203,4,75A+25F,414.4636184,3,18
Second,Full,4203,4,75A+25F,467.2700048,3,18
Third,Full,4203,4,75A+25F,441.2479186,3,18
First,Full,4204,4,75A+25M,622.3952615,3,19
Second,Full,4204,4,75A+25M,525.8982857,3,19
Third,Full,4204,4,75A+25M,405.4318996,3,19
First,Full,4205,4,50A+50O,548.5161544,3,20
Second,Full,4205,4,50A+50O,343.5408188,3,20
Third,Full,4205,4,50A+50O,330.829392,3,20
First,Full,4206,4,50A+50F,570.513137,4,16
Second,Full,4206,4,50A+50F,NA,4,16
Third,Full,4206,4,50A+50F,436.772636,4,16
First,Full,4207,4,50A+50M,408.204,4,17
Second,Full,4207,4,50A+50M,294.5546863,4,17
Third,Full,4207,4,50A+50M,446.554051,4,17
First,Full,4208,4,50A+50O_AR,422.2881576,4,18
Second,Full,4208,4,50A+50O_AR,244.6253937,4,18
Third,Full,4208,4,50A+50O_AR,260.454176,4,18
First,Full,4209,4,50A+50F_AR,402.1425028,4,19
Second,Full,4209,4,50A+50F_AR,361.0902128,4,19
Third,Full,4209,4,50A+50F_AR,233.3607719,4,19
First,Full,4210,4,100A,633.5990649,4,20
Second,Full,4210,4,100A,718.1568958,4,20
Third,Full,4210,4,100A,576.81,4,20
