year,location,block,variety,stand_pct,days_to_heading_julian,height,lodging,yield_bu_a,test_weight,range,row
2015,RT,1,LCS Biancor,100,144,35,0,147.6684,55.8,1,8
2015,RT,1,Bobtail,100,146,35,0,152.3148,53.8,1,9
2015,RT,1,Norwest Duet,100,149,41,0,130.8252,54.7,1,10
2015,RT,1,LOR-913,100,144,36,0,126.7596,52.7,1,11
2015,RT,1,Mary,100,144,38,0,141.1344,53.3,1,12
2015,RT,1,OR2080637,100,148,34,0,126.4692,50.7,1,13
2015,RT,1,IDN-02-29001A,100,148,38,0,126.324,54.1,1,14
2015,RT,1,WB1529,100,141,35,0,98.5908,57.5,2,1
2015,RT,1,SY  Ovation,100,143,38,0,143.1672,57.5,2,2
2015,RT,1,WB 456,100,137,38,0,132.132,58.1,2,3
2015,RT,1,UI Palouse,100,145,36,0,126.1788,55.8,2,4
2015,RT,1,Kaseberg,100,145,38,0,146.652,53.8,2,5
2015,RT,1,LCS Artdeco,100,140,34,0,145.2,53,2,6
2015,RT,1,OR2100940,100,143,33,0,125.8884,54.7,2,7
2015,RT,1,LOR-833,100,137,31,0,131.1156,55,2,8
2015,RT,1,Eltan,100,148,44,25,113.8368,55.8,2,9
2015,RT,1,LCS Drive,97,141,31,0,135.762,52.4,2,10
2015,RT,1,DAS004,100,145,38,0,116.5956,53,2,11
2015,RT,1,IDN-01-10704A,100,144,42,0,119.064,52.2,2,12
2015,RT,1,SY Assure,100,133,30,0,118.338,54.4,2,13
2015,RT,1,LOR-978,100,145,36,0,112.3848,54.4,2,14
2015,RT,1,UI Magic CLP,100,140,33,0,82.3284,55.8,3,1
2015,RT,1,Stephens,100,139,33,0,129.228,56.4,3,2
2015,RT,1,Bruneau,100,148,34,0,117.1764,56.1,3,3
2015,RT,1,IDO1005,100,147,38,0,109.4808,56.4,3,4
2015,RT,1,Madsen / Eltan (50/50),100,149,42,0,118.7736,55.8,3,5
2015,RT,1,SY 107,100,145,37,0,135.1812,55.3,3,6
2015,RT,1,Rosalyn,100,144,38,0,139.6824,56.7,3,7
2015,RT,1,IDO1004,100,141,38,0,129.954,55.3,3,8
2015,RT,1,UI-WSU Huffman,100,149,38,0,125.4528,55.5,3,9
2015,RT,1,OR2080641,96,147,38,0,134.7456,56.1,3,10
2015,RT,1,Jasper,100,146,34,0,127.4856,55.5,3,11
2015,RT,1,WB 528,100,141,39,0,138.9564,56.4,3,12
2015,RT,1,Norwest Tandem,100,145,35,0,130.68,54.1,3,13
2015,RT,1,UI Castle CLP,100,148,39,0,105.996,52.2,3,14
2015,RT,2,Madsen / Eltan (50/50),100,149,40,0,108.0288,54.7,4,1
2015,RT,2,Bobtail,100,146,37,0,147.5232,51.9,4,2
2015,RT,2,IDN-02-29001A,100,146,38,0,136.0524,56.7,4,3
2015,RT,2,WB 456,100,137,35,0,137.6496,57.8,4,4
2015,RT,2,IDN-01-10704A,100,147,40,0,156.6708,56.1,4,5
2015,RT,2,IDO1005,100,149,40,0,138.0852,57.2,4,6
2015,RT,2,IDO1004,100,143,39,0,144.474,56.1,4,7
2015,RT,2,Mary,100,142,36,0,148.9752,55.8,4,8
2015,RT,2,WB 528,100,140,37,10,143.748,56.4,4,9
2015,RT,2,Rosalyn,100,143,37,0,130.3896,54.7,4,10
2015,RT,2,Bruneau,100,149,38,0,134.0196,53.6,4,11
2015,RT,2,Madsen,100,149,42,0,122.9844,52.2,4,12
