site,block,variety,yield
site_9,1,variety_5,700.9311296
site_6,2,variety_27,703.642662
site_9,3,variety_34,707.7099606
site_9,3,variety_38,707.7099606
site_5,4,variety_34,711.6077885
site_3,3,variety_17,724.133001
site_9,4,variety_30,732.1137524
site_9,4,variety_6,732.1137524
site_6,4,variety_30,734.8252848
site_3,3,variety_12,742.931036
site_6,1,variety_27,745.6714145
site_6,3,variety_9,745.6714145
site_9,1,variety_35,748.3829469
site_3,4,variety_12,758.4598475
site_4,2,variety_22,761.940609
site_9,2,variety_20,761.940609
site_8,4,variety_3,766.7669954
site_6,3,variety_31,775.4982711
site_3,4,variety_2,777.1321432
site_3,3,variety_16,778.8924943
site_6,3,variety_6,782.2771021
site_9,2,variety_14,782.2771021
site_3,1,variety_3,791.9693882
site_2,2,variety_24,793.1232318
site_6,2,variety_30,798.5462966
site_3,4,variety_23,799.325141
site_9,3,variety_1,802.6135952
site_9,1,variety_16,808.0366601
site_9,4,variety_36,821.5943221
site_9,4,variety_4,821.5943221
site_3,1,variety_32,823.0270112
site_3,1,variety_35,825.4789289
site_9,1,variety_36,825.6616208
site_2,3,variety_3,827.017387
site_9,3,variety_24,827.017387
site_2,1,variety_21,837.8635166
site_3,4,variety_18,840.6619571
site_9,1,variety_26,847.3538801
site_9,4,variety_29,854.1327111
site_9,1,variety_4,854.1327111
site_9,4,variety_8,854.1327111
site_8,3,variety_22,855.2978227
site_3,1,variety_23,857.3538578
site_3,2,variety_22,858.1711637
site_3,1,variety_11,861.4403871
site_6,1,variety_26,862.2673084
site_6,4,variety_26,862.2673084
site_8,2,variety_22,864.3009577
site_6,4,variety_13,866.334607
site_9,4,variety_28,879.8922691
site_5,2,variety_34,880.1464752
site_4,4,variety_3,892.094165
site_3,3,variety_3,897.4018454
site_3,3,variety_18,898.2191513
site_5,3,variety_22,898.872996
site_3,2,variety_34,901.4883748
site_3,1,variety_38,903.1229865
site_3,3,variety_38,904.7575983
site_2,2,variety_21,905.651827
site_9,4,variety_7,907.0075932
site_9,1,variety_32,908.3633595
site_5,1,variety_22,910.3970088
site_5,1,variety_34,911.8375104
site_9,2,variety_38,912.4306581
site_3,3,variety_1,912.930657
site_3,1,variety_2,917.0171863
site_4,4,variety_22,917.8537229
